any_academic,assignatura,codi_assignatura,grup,NIA,pla,tipus,curs,semestre,exhaurides,superada,nota_numerica,nota_alfa
2014,FisEl,200142,701,1400803,879,B,1,2,2,S,0.0,NP
2014,Quim,200143,701,1400803,879,B,1,2,2,S,0.0,NP
2014,EMedi,200144,701,1400803,879,O,1,2,2,S,1.0,SS
2014,CAM,200263,701,1309934,879,P,4,2,1,S,10.0,SB
2014,Fis,200136,701,1401926,877,B,1,1,1,S,6.5,AP
2014,Mates,200138,701,1401926,877,B,1,1,1,S,7.1,NT
2014,Antr,200139,701,1401926,877,O,1,1,1,S,7.5,NT
2014,Calc,200140,701,1401926,877,B,1,2,1,N,2.6,SS
2014,EGraf,200141,701,1401926,877,B,1,2,1,S,8.2,NT
2014,Quim,200143,701,1401926,877,B,1,2,1,N,2.0,SS
2014,EMedi,200144,701,1401926,877,O,1,2,1,S,5.9,AP
2014,Fis,200136,701,1400327,879,B,1,1,1,S,7.1,NT
2014,Mates,200138,701,1400327,879,B,1,1,1,S,6.7,AP
2014,Antr,200139,701,1400327,879,O,1,1,1,S,8.0,NT
2014,Calc,200140,701,1400327,879,B,1,2,1,S,6.4,AP
2014,EMedi,200144,701,1400327,879,O,1,2,1,S,9.1,SB
2014,GCon,200302,701,1309483,880,P,4,2,1,S,7.3,NT
2014,TecDE,200288,1001,1310769,880,O,3,1,1,S,5.0,AP
2014,GQual,200291,1001,1310769,880,O,3,2,1,S,6.4,AP
2014,PTeIn,200293,1101,1310769,880,O,3,2,1,S,5.1,AP
2014,VBB,200294,301,1310769,880,O,3,2,1,S,10.0,SB
2014,IdAng,200910,701,1269409,877,P,4,1,1,S,8.0,NT
2014,IdAng,200910,701,1311370,878,P,4,1,1,S,6.2,AP
2014,DEstE,200290,1001,1370593,880,O,3,2,1,S,5.5,AP
2014,GQual,200291,1001,1370593,880,O,3,2,3,S,0.0,NP
2014,MQGA,200292,1001,1370593,880,O,3,2,3,S,0.0,NP
2014,DEstO,200285,1001,1306558,880,O,3,1,1,S,5.0,AP
2014,Emp,200265,301,1400573,880,B,1,1,1,S,6.5,AP
2014,Fis,200266,301,1400573,880,B,1,1,1,S,7.5,NT
2014,Inf,200267,301,1400573,880,B,1,1,1,S,6.0,AP
2014,Mates,200268,301,1400573,880,B,1,1,1,S,7.8,NT
2014,Antr,200269,301,1400573,880,O,1,1,1,S,9.0,SB
2014,Calc,200270,301,1400573,880,B,1,2,1,S,8.1,NT
2014,EGraf,200271,301,1400573,880,B,1,2,1,S,5.8,AP
2014,FisEl,200272,301,1400573,880,B,1,2,1,S,5.0,AP
2014,Quim,200273,301,1400573,880,B,1,2,1,S,9.3,M
2014,EMedi,200274,301,1400573,880,O,1,2,1,S,5.9,AP
2014,Emp,200265,701,1401811,880,B,1,1,1,N,0.3,SS
2014,Fis,200266,701,1401811,880,B,1,1,1,N,0.0,SS
2014,Inf,200267,701,1401811,880,B,1,1,1,N,0.0,NP
2014,Mates,200268,701,1401811,880,B,1,1,1,N,0.0,NP
2014,Antr,200269,701,1401811,880,O,1,1,1,N,0.0,NP
2014,Calc,200270,701,1401811,880,B,1,2,1,N,0.0,NP
2014,EGraf,200271,701,1401811,880,B,1,2,1,N,0.0,NP
2014,FisEl,200272,701,1401811,880,B,1,2,1,N,0.0,NP
2014,Quim,200273,701,1401811,880,B,1,2,1,N,0.0,NP
2014,EMedi,200274,701,1401811,880,O,1,2,1,N,0.0,NP
2014,DEstO,200285,1001,1336140,880,O,3,1,1,S,7.4,NT
2014,Emp,200135,301,1400328,879,B,1,1,1,S,5.0,AP
2014,Fis,200136,301,1400328,879,B,1,1,1,S,6.3,AP
2014,Inf,200137,301,1400328,879,B,1,1,1,S,5.0,AP
2014,Mates,200138,301,1400328,879,B,1,1,3,N,2.5,SS
2014,Antr,200139,301,1400328,879,O,1,1,1,S,9.5,SB
2014,Calc,200140,401,1400328,879,B,1,2,3,S,1.8,SS
2014,EGraf,200141,401,1400328,879,B,1,2,1,S,5.3,AP
2014,FisEl,200142,401,1400328,879,B,1,2,3,N,1.0,SS
2014,Quim,200143,401,1400328,879,B,1,2,3,N,3.0,SS
2014,EMedi,200144,401,1400328,879,O,1,2,2,S,4.2,SS
2014,FisEl,200142,401,1401272,877,B,1,2,1,S,7.0,NT
2014,Quim,200143,401,1401272,877,B,1,2,2,S,3.0,SS
2014,EMedi,200144,401,1401272,877,O,1,2,1,S,6.7,AP
2014,Emp,200135,301,1400141,879,B,1,1,1,S,6.0,AP
2014,Fis,200136,301,1400141,879,B,1,1,2,S,3.0,SS
